País,Puntuación,Fecha
Kuwait,1105.1,01-04-2026
Filipinas,1094.1,01-04-2026
India,1091.03,01-04-2026
Letonia,1090.57,01-04-2026
Malasia,1086.22,01-04-2026
República Centroafricana,1083.57,01-04-2026
Liberia,1079.02,01-04-2026
Turkmenistán,1078.65,01-04-2026
Burundi,1078.01,01-04-2026
República Dominicana,1077.95,01-04-2026
Etiopía,1071.55,01-04-2026
Lesoto,1067.13,01-04-2026
Botsuana,1063.63,01-04-2026
Singapur,1059.53,01-04-2026
Lituania,1058.42,01-04-2026
Yemen,1049.49,01-04-2026
Guyana,1049.32,01-04-2026
Nueva Caledonia,1036.95,01-04-2026
San Cristóbal y Nieves,1036.33,01-04-2026
Islas Salomón,1031.89,01-04-2026
Fiyi,1029.7,01-04-2026
"Hong Kong, China",1026.63,01-04-2026
Puerto Rico,1026.11,01-04-2026
Tahití,1019.04,01-04-2026
Myanmar,1011.88,01-04-2026
Moldavia,1004.16,01-04-2026
Vanuatu,997.01,01-04-2026
Malta,987.73,01-04-2026
Antigua y Barbuda,986.58,01-04-2026
Granada,982.57,01-04-2026
Cuba,981.42,01-04-2026
Esuatini,979.01,01-04-2026
Bermudas,976.87,01-04-2026
Santa Lucía,976.71,01-04-2026
Papúa Nueva Guinea,974.9,01-04-2026
Afganistán,972.75,01-04-2026
Sudán del Sur,970.94,01-04-2026
San Vicente y las Granadinas,968.27,01-04-2026
Maldivas,954.93,01-04-2026
Andorra,945.34,01-04-2026
Chinese Taipei,923.78,01-04-2026
Montserrat,916.75,01-04-2026
Nepal,914.54,01-04-2026
Camboya,911.54,01-04-2026
Mauricio,911.49,01-04-2026
Barbados,909.89,01-04-2026
Belice,907.0,01-04-2026
Bangladesh,899.53,01-04-2026
Dominica,897.69,01-04-2026
Chad,896.85,01-04-2026
Eritrea,887.06,01-04-2026
Laos,885.03,01-04-2026
Bután,880.55,01-04-2026
Mongolia,879.75,01-04-2026
Islas Cook,877.53,01-04-2026
Aruba,877.3,01-04-2026
Samoa,876.41,01-04-2026
Sri Lanka,871.82,01-04-2026
Samoa Estadounidense,871.61,01-04-2026
Brunéi Darussalam,863.09,01-04-2026
Macao,858.03,01-04-2026
Islas Caimán,855.45,01-04-2026
Santo Tomé y Príncipe,855.44,01-04-2026
Yibuti,853.58,01-04-2026
Somalia,839.17,01-04-2026
Tonga,835.64,01-04-2026
Timor Oriental,825.64,01-04-2026
Guam,825.43,01-04-2026
Pakistán,824.6,01-04-2026
Gibraltar,810.14,01-04-2026
Seychelles,804.16,01-04-2026
Turcas y Caicos,803.98,01-04-2026
Liechtenstein,803.57,01-04-2026
Bahamas,786.82,01-04-2026
Islas Vírgenes Británicas,782.14,01-04-2026
Islas Vírgenes Estadounidenses,779.76,01-04-2026
Anguila,760.25,01-04-2026
San Marino,726.33,01-04-2026
España,1877.18,19-01-2026
Argentina,1873.33,19-01-2026
Francia,1870.0,19-01-2026
Inglaterra,1834.12,19-01-2026
Brasil,1760.46,19-01-2026
Portugal,1760.38,19-01-2026
Países Bajos,1756.27,19-01-2026
Marruecos,1736.57,19-01-2026
Bélgica,1730.71,19-01-2026
Alemania,1724.15,19-01-2026
Croacia,1716.88,19-01-2026
Senegal,1706.83,19-01-2026
Italia,1702.06,19-01-2026
Colombia,1701.3,19-01-2026
EEUU,1681.88,19-01-2026
México,1675.75,19-01-2026
Uruguay,1672.62,19-01-2026
Suiza,1654.69,19-01-2026
Japón,1650.12,19-01-2026
RI de Irán,1617.02,19-01-2026
Dinamarca,1616.75,19-01-2026
República de Corea,1599.45,19-01-2026
Ecuador,1591.73,19-01-2026
Austria,1585.51,19-01-2026
Turquía,1582.69,19-01-2026
Nigeria,1581.55,19-01-2026
Australia,1574.01,19-01-2026
Argelia,1560.91,19-01-2026
Canadá,1559.15,19-01-2026
Ucrania,1557.47,19-01-2026
Egipto,1556.71,19-01-2026
Noruega,1553.14,19-01-2026
Panamá,1539.47,19-01-2026
Polonia,1532.04,19-01-2026
Gales,1529.71,19-01-2026
Rusia,1524.52,19-01-2026
Costa de Marfil,1522.48,19-01-2026
Escocia,1506.77,19-01-2026
Serbia,1506.34,19-01-2026
Paraguay,1501.5,19-01-2026
Hungría,1496.29,19-01-2026
Suecia,1487.13,19-01-2026
República Checa,1487.0,19-01-2026
Eslovaquia,1485.65,19-01-2026
Camerún,1482.39,19-01-2026
Grecia,1480.38,19-01-2026
Túnez,1479.04,19-01-2026
RD del Congo,1468.22,19-01-2026
Rumanía,1465.78,19-01-2026
Venezuela,1465.22,19-01-2026
Costa Rica,1464.24,19-01-2026
Uzbekistán,1462.03,19-01-2026
Perú,1459.57,19-01-2026
Mali,1458.48,19-01-2026
Chile,1457.84,19-01-2026
Qatar,1454.96,19-01-2026
Eslovenia,1447.31,19-01-2026
Irak,1436.94,19-01-2026
República de Irlanda,1436.04,19-01-2026
Sudáfrica,1432.76,19-01-2026
Arabia Saudí,1429.48,19-01-2026
Burkina Faso,1412.79,19-01-2026
Albania,1401.07,19-01-2026
Jordania,1388.93,19-01-2026
Honduras,1379.54,19-01-2026
Macedonia del Norte,1378.57,19-01-2026
Cabo Verde,1370.49,19-01-2026
Emiratos Árabes Unidos,1370.47,19-01-2026
Irlanda del Norte,1366.02,19-01-2026
Jamaica,1362.46,19-01-2026
Bosnia y Herzegovina,1362.37,19-01-2026
Ghana,1351.09,19-01-2026
Georgia,1347.88,19-01-2026
Islandia,1344.72,19-01-2026
Finlandia,1341.81,19-01-2026
Bolivia,1330.52,19-01-2026
Israel,1328.14,19-01-2026
Omán,1313.46,19-01-2026
Kosovo,1308.84,19-01-2026
Guinea,1307.05,19-01-2026
Curazao,1302.7,19-01-2026
Montenegro,1297.09,19-01-2026
Haití,1294.49,19-01-2026
Siria,1282.62,19-01-2026
Nueva Zelanda,1279.25,19-01-2026
Gabón,1276.28,19-01-2026
Bulgaria,1272.19,19-01-2026
Uganda,1264.09,19-01-2026
Angola,1263.1,19-01-2026
Baréin,1258.53,19-01-2026
Zambia,1256.68,19-01-2026
Benín,1250.05,19-01-2026
RP China,1249.06,19-01-2026
Guatemala,1245.77,19-01-2026
Palestina,1244.73,19-01-2026
Tailandia,1243.27,19-01-2026
Trinidad y Tobago,1227.32,19-01-2026
Bielorrusia,1227.09,19-01-2026
El Salvador,1226.65,19-01-2026
Tayikistán,1224.93,19-01-2026
Mozambique,1224.31,19-01-2026
Luxemburgo,1218.91,19-01-2026
República Kirguisa,1201.22,19-01-2026
Madagascar,1198.87,19-01-2026
Armenia,1196.08,19-01-2026
Comoras,1193.49,19-01-2026
Guinea Ecuatorial,1190.01,19-01-2026
Vietnam,1189.51,19-01-2026
Líbano,1187.96,19-01-2026
Tanzania,1186.14,19-01-2026
Níger,1185.09,19-01-2026
Libia,1183.06,19-01-2026
Kenia,1179.54,19-01-2026
Kazajstán,1173.0,19-01-2026
Mauritania,1171.35,19-01-2026
Gambia,1161.55,19-01-2026
Sudán,1157.22,19-01-2026
Namibia,1153.22,19-01-2026
RDP de Corea,1151.05,19-01-2026
Sierra Leona,1149.1,19-01-2026
Malasia,1145.89,19-01-2026
Indonesia,1144.73,19-01-2026
Surinam,1140.54,19-01-2026
Togo,1140.35,19-01-2026
Islas Feroe,1135.42,19-01-2026
Malaui,1133.75,19-01-2026
Azerbaiyán,1132.97,19-01-2026
Chipre,1128.5,19-01-2026
Estonia,1123.11,19-01-2026
Ruanda,1117.78,19-01-2026
Nicaragua,1116.86,19-01-2026
Zimbabue,1113.61,19-01-2026
Guinea-Bissáu,1108.09,19-01-2026
Congo,1105.96,19-01-2026
Kuwait,1105.1,19-01-2026
Filipinas,1090.95,19-01-2026
Turkmenistán,1087.52,19-01-2026
República Centroafricana,1083.57,19-01-2026
Letonia,1082.68,19-01-2026
Liberia,1081.46,19-01-2026
India,1079.52,19-01-2026
República Dominicana,1077.49,19-01-2026
Lesoto,1065.97,19-01-2026
Botsuana,1062.42,19-01-2026
Burundi,1060.22,19-01-2026
Lituania,1056.34,19-01-2026
Etiopía,1055.36,19-01-2026
Singapur,1050.35,19-01-2026
Yemen,1049.49,19-01-2026
Nueva Caledonia,1042.62,19-01-2026
Guyana,1041.9,19-01-2026
Islas Salomón,1039.86,19-01-2026
"Hong Kong, China",1038.14,19-01-2026
San Cristóbal y Nieves,1035.25,19-01-2026
Fiyi,1029.7,19-01-2026
Puerto Rico,1020.07,19-01-2026
Tahití,1019.04,19-01-2026
Moldavia,1012.64,19-01-2026
Esuatini,1010.52,19-01-2026
Vanuatu,997.01,19-01-2026
Malta,996.59,19-01-2026
Afganistán,991.19,19-01-2026
Myanmar,990.81,19-01-2026
Granada,989.59,19-01-2026
Antigua y Barbuda,986.58,19-01-2026
Cuba,980.49,19-01-2026
Santa Lucía,980.28,19-01-2026
Sudán del Sur,977.5,19-01-2026
Bermudas,976.87,19-01-2026
Papúa Nueva Guinea,974.9,19-01-2026
San Vicente y las Granadinas,963.74,19-01-2026
Andorra,949.44,19-01-2026
Maldivas,945.02,19-01-2026
Chinese Taipei,938.21,19-01-2026
Montserrat,916.75,19-01-2026
Mauricio,915.51,19-01-2026
Chad,914.65,19-01-2026
Barbados,914.42,19-01-2026
Camboya,911.54,19-01-2026
Bangladesh,911.1,19-01-2026
Belice,910.74,19-01-2026
Nepal,902.52,19-01-2026
Dominica,901.37,19-01-2026
Samoa Estadounidense,883.17,19-01-2026
Mongolia,879.75,19-01-2026
Islas Cook,877.53,19-01-2026
Samoa,876.41,19-01-2026
Brunéi Darussalam,875.78,19-01-2026
Santo Tomé y Príncipe,871.63,19-01-2026
Laos,871.16,19-01-2026
Aruba,867.94,19-01-2026
Bután,867.86,19-01-2026
Macao,865.29,19-01-2026
Sri Lanka,857.4,19-01-2026
Islas Caimán,851.74,19-01-2026
Yibuti,847.03,19-01-2026
Tonga,835.64,19-01-2026
Timor Oriental,835.55,19-01-2026
Pakistán,833.16,19-01-2026
Somalia,828.9,19-01-2026
Guam,823.08,19-01-2026
Gibraltar,818.03,19-01-2026
Seychelles,805.33,19-01-2026
Turcas y Caicos,803.98,19-01-2026
Liechtenstein,799.8,19-01-2026
Bahamas,796.6,19-01-2026
Islas Vírgenes Estadounidenses,776.6,19-01-2026
Islas Vírgenes Británicas,776.54,19-01-2026
Anguila,759.78,19-01-2026
San Marino,726.03,19-01-2026
España,1877.18,19-11-2025
Argentina,1873.33,19-11-2025
Francia,1870.0,19-11-2025
Inglaterra,1834.12,19-11-2025
Brasil,1760.46,19-11-2025
Portugal,1760.38,19-11-2025
Países Bajos,1756.27,19-11-2025
Bélgica,1730.71,19-11-2025
Alemania,1724.15,19-11-2025
Croacia,1716.88,19-11-2025
Marruecos,1713.12,19-11-2025
Italia,1702.06,19-11-2025
Colombia,1701.3,19-11-2025
EEUU,1681.88,19-11-2025
México,1675.75,19-11-2025
Uruguay,1672.62,19-11-2025
Suiza,1654.69,19-11-2025
Japón,1650.12,19-11-2025
Senegal,1648.07,19-11-2025
RI de Irán,1617.02,19-11-2025
Dinamarca,1616.75,19-11-2025
República de Corea,1599.45,19-11-2025
Ecuador,1591.73,19-11-2025
Austria,1585.51,19-11-2025
Turquía,1582.69,19-11-2025
Australia,1574.01,19-11-2025
Canadá,1559.15,19-11-2025
Ucrania,1557.47,19-11-2025
Noruega,1553.14,19-11-2025
Panamá,1540.43,19-11-2025
Polonia,1532.04,19-11-2025
Gales,1529.71,19-11-2025
Rusia,1524.52,19-11-2025
Egipto,1520.68,19-11-2025
Argelia,1516.37,19-11-2025
Escocia,1506.77,19-11-2025
Serbia,1506.34,19-11-2025
Nigeria,1502.46,19-11-2025
Paraguay,1501.5,19-11-2025
Túnez,1497.13,19-11-2025
Hungría,1496.29,19-11-2025
Costa de Marfil,1489.59,19-11-2025
Suecia,1487.13,19-11-2025
República Checa,1487.0,19-11-2025
Eslovaquia,1485.65,19-11-2025
Grecia,1480.38,19-11-2025
Rumanía,1465.78,19-11-2025
Venezuela,1465.22,19-11-2025
Costa Rica,1464.24,19-11-2025
Uzbekistán,1462.03,19-11-2025
Qatar,1461.6,19-11-2025
Perú,1459.57,19-11-2025
Chile,1457.84,19-11-2025
Mali,1455.03,19-11-2025
Eslovenia,1447.31,19-11-2025
RD del Congo,1442.5,19-11-2025
Camerún,1440.43,19-11-2025
Irak,1438.92,19-11-2025
República de Irlanda,1436.04,19-11-2025
Arabia Saudí,1428.74,19-11-2025
Sudáfrica,1426.73,19-11-2025
Burkina Faso,1404.81,19-11-2025
Albania,1401.07,19-11-2025
Honduras,1379.54,19-11-2025
Macedonia del Norte,1378.57,19-11-2025
Jordania,1377.66,19-11-2025
Emiratos Árabes Unidos,1369.71,19-11-2025
Cabo Verde,1367.95,19-11-2025
Irlanda del Norte,1366.02,19-11-2025
Jamaica,1362.46,19-11-2025
Bosnia y Herzegovina,1362.37,19-11-2025
Ghana,1351.09,19-11-2025
Georgia,1347.88,19-11-2025
Islandia,1344.72,19-11-2025
Finlandia,1341.81,19-11-2025
Bolivia,1329.56,19-11-2025
Israel,1328.14,19-11-2025
Gabón,1321.25,19-11-2025
Omán,1312.45,19-11-2025
Kosovo,1308.84,19-11-2025
Guinea,1307.05,19-11-2025
Curazao,1302.7,19-11-2025
Montenegro,1297.09,19-11-2025
Haití,1294.49,19-11-2025
Uganda,1288.01,19-11-2025
Nueva Zelanda,1279.25,19-11-2025
Siria,1278.1,19-11-2025
Bulgaria,1272.19,19-11-2025
Angola,1271.54,19-11-2025
Zambia,1260.06,19-11-2025
Baréin,1258.68,19-11-2025
Benín,1255.72,19-11-2025
RP China,1249.06,19-11-2025
Guatemala,1245.77,19-11-2025
Tailandia,1243.27,19-11-2025
Palestina,1230.55,19-11-2025
Guinea Ecuatorial,1229.09,19-11-2025
Trinidad y Tobago,1227.32,19-11-2025
Bielorrusia,1227.09,19-11-2025
El Salvador,1226.65,19-11-2025
Tayikistán,1224.93,19-11-2025
Mozambique,1223.48,19-11-2025
Luxemburgo,1218.91,19-11-2025
República Kirguisa,1201.22,19-11-2025
Madagascar,1198.87,19-11-2025
Armenia,1196.08,19-11-2025
Líbano,1190.64,19-11-2025
Comoras,1189.75,19-11-2025
Níger,1185.09,19-11-2025
Vietnam,1183.62,19-11-2025
Libia,1182.78,19-11-2025
Tanzania,1181.22,19-11-2025
Kenia,1179.54,19-11-2025
Mauritania,1174.19,19-11-2025
Kazajstán,1173.0,19-11-2025
Malasia,1168.41,19-11-2025
Gambia,1161.55,19-11-2025
Sudán,1153.56,19-11-2025
Namibia,1153.22,19-11-2025
RDP de Corea,1151.05,19-11-2025
Sierra Leona,1149.1,19-11-2025
Indonesia,1144.73,19-11-2025
Surinam,1140.54,19-11-2025
Togo,1140.35,19-11-2025
Islas Feroe,1135.42,19-11-2025
Malaui,1133.75,19-11-2025
Azerbaiyán,1132.97,19-11-2025
Chipre,1128.5,19-11-2025
Zimbabue,1123.69,19-11-2025
Estonia,1123.11,19-11-2025
Ruanda,1117.78,19-11-2025
Nicaragua,1116.86,19-11-2025
Guinea-Bissáu,1108.09,19-11-2025
Congo,1105.96,19-11-2025
Kuwait,1103.25,19-11-2025
Filipinas,1090.95,19-11-2025
Turkmenistán,1087.52,19-11-2025
Botsuana,1084.56,19-11-2025
República Centroafricana,1083.57,19-11-2025
Letonia,1082.68,19-11-2025
Liberia,1081.46,19-11-2025
India,1079.52,19-11-2025
República Dominicana,1077.49,19-11-2025
Lesoto,1065.97,19-11-2025
Burundi,1060.22,19-11-2025
Lituania,1056.34,19-11-2025
Etiopía,1055.36,19-11-2025
Yemen,1048.83,19-11-2025
Nueva Caledonia,1042.62,19-11-2025
Guyana,1041.9,19-11-2025
Singapur,1040.43,19-11-2025
Islas Salomón,1039.86,19-11-2025
"Hong Kong, China",1038.14,19-11-2025
San Cristóbal y Nieves,1035.25,19-11-2025
Fiyi,1029.7,19-11-2025
Puerto Rico,1020.07,19-11-2025
Tahití,1019.04,19-11-2025
Moldavia,1012.64,19-11-2025
Esuatini,1010.52,19-11-2025
Vanuatu,997.01,19-11-2025
Malta,996.59,19-11-2025
Afganistán,991.19,19-11-2025
Myanmar,990.81,19-11-2025
Granada,989.59,19-11-2025
Antigua y Barbuda,986.58,19-11-2025
Cuba,980.49,19-11-2025
Santa Lucía,980.28,19-11-2025
Sudán del Sur,978.7,19-11-2025
Bermudas,976.87,19-11-2025
Papúa Nueva Guinea,974.9,19-11-2025
San Vicente y las Granadinas,963.74,19-11-2025
Andorra,949.44,19-11-2025
Maldivas,945.02,19-11-2025
Chinese Taipei,938.21,19-11-2025
Montserrat,916.75,19-11-2025
Mauricio,915.51,19-11-2025
Chad,914.65,19-11-2025
Barbados,914.42,19-11-2025
Camboya,911.54,19-11-2025
Bangladesh,911.19,19-11-2025
Belice,910.74,19-11-2025
Nepal,902.44,19-11-2025
Dominica,901.37,19-11-2025
Samoa Estadounidense,883.17,19-11-2025
Mongolia,879.75,19-11-2025
Islas Cook,877.53,19-11-2025
Laos,877.05,19-11-2025
Samoa,876.41,19-11-2025
Brunéi Darussalam,875.78,19-11-2025
Santo Tomé y Príncipe,871.63,19-11-2025
Aruba,867.94,19-11-2025
Bután,867.86,19-11-2025
Macao,865.29,19-11-2025
Sri Lanka,857.4,19-11-2025
Islas Caimán,851.74,19-11-2025
Yibuti,847.89,19-11-2025
Tonga,835.64,19-11-2025
Timor Oriental,835.55,19-11-2025
Pakistán,833.16,19-11-2025
Somalia,827.07,19-11-2025
Guam,823.08,19-11-2025
Gibraltar,818.03,19-11-2025
Seychelles,805.33,19-11-2025
Turcas y Caicos,803.98,19-11-2025
Liechtenstein,799.8,19-11-2025
Bahamas,796.6,19-11-2025
Islas Vírgenes Estadounidenses,776.6,19-11-2025
Islas Vírgenes Británicas,776.54,19-11-2025
Anguila,759.78,19-11-2025
San Marino,726.03,19-11-2025
España,1880.76,17-10-2025
Argentina,1872.43,17-10-2025
Francia,1862.71,17-10-2025
Inglaterra,1824.3,17-10-2025
Portugal,1778.0,17-10-2025
Países Bajos,1759.96,17-10-2025
Brasil,1758.85,17-10-2025
Bélgica,1740.01,17-10-2025
Italia,1717.15,17-10-2025
Alemania,1713.3,17-10-2025
Croacia,1710.15,17-10-2025
Marruecos,1710.11,17-10-2025
Colombia,1695.72,17-10-2025
México,1682.52,17-10-2025
Uruguay,1677.57,17-10-2025
EEUU,1673.49,17-10-2025
Suiza,1653.32,17-10-2025
Senegal,1650.61,17-10-2025
Japón,1645.34,17-10-2025
Dinamarca,1641.02,17-10-2025
RI de Irán,1618.28,17-10-2025
República de Corea,1593.92,17-10-2025
Ecuador,1589.72,17-10-2025
Austria,1586.98,17-10-2025
Australia,1584.02,17-10-2025
Turquía,1570.18,17-10-2025
Ucrania,1555.36,17-10-2025
Canadá,1554.63,17-10-2025
Noruega,1532.14,17-10-2025
Rusia,1530.95,17-10-2025
Panamá,1528.21,17-10-2025
Egipto,1525.31,17-10-2025
Polonia,1523.84,17-10-2025
Gales,1518.81,17-10-2025
Argelia,1510.26,17-10-2025
Serbia,1507.84,17-10-2025
Hungría,1504.92,17-10-2025
Escocia,1504.2,17-10-2025
Paraguay,1498.15,17-10-2025
Suecia,1496.99,17-10-2025
Nigeria,1495.46,17-10-2025
Costa de Marfil,1491.78,17-10-2025
Túnez,1490.8,17-10-2025
República Checa,1484.68,17-10-2025
Costa Rica,1483.74,17-10-2025
Eslovaquia,1483.35,17-10-2025
Rumanía,1480.13,17-10-2025
Grecia,1472.99,17-10-2025
Perú,1464.05,17-10-2025
Venezuela,1463.27,17-10-2025
Eslovenia,1462.93,17-10-2025
Qatar,1461.6,17-10-2025
Mali,1455.78,17-10-2025
Camerún,1453.71,17-10-2025
Uzbekistán,1452.34,17-10-2025
Chile,1446.93,17-10-2025
Irak,1428.69,17-10-2025
Arabia Saudí,1427.37,17-10-2025
Sudáfrica,1423.17,17-10-2025
RD del Congo,1421.32,17-10-2025
Albania,1401.34,17-10-2025
República de Irlanda,1401.18,17-10-2025
Burkina Faso,1398.05,17-10-2025
Honduras,1396.23,17-10-2025
Macedonia del Norte,1390.6,17-10-2025
Jordania,1380.87,17-10-2025
Emiratos Árabes Unidos,1379.93,17-10-2025
Jamaica,1367.18,17-10-2025
Irlanda del Norte,1366.27,17-10-2025
Georgia,1365.92,17-10-2025
Cabo Verde,1364.26,17-10-2025
Finlandia,1360.27,17-10-2025
Ghana,1356.4,17-10-2025
Islandia,1344.84,17-10-2025
Bosnia y Herzegovina,1341.36,17-10-2025
Bolivia,1334.55,17-10-2025
Gabón,1329.91,17-10-2025
Israel,1324.57,17-10-2025
Omán,1312.32,17-10-2025
Guinea,1305.22,17-10-2025
Montenegro,1297.88,17-10-2025
Curazao,1295.52,17-10-2025
Uganda,1287.75,17-10-2025
Kosovo,1284.73,17-10-2025
Nueva Zelanda,1283.3,17-10-2025
Siria,1274.16,17-10-2025
Zambia,1268.6,17-10-2025
Haití,1268.32,17-10-2025
Angola,1267.45,17-10-2025
Baréin,1267.16,17-10-2025
Bulgaria,1263.07,17-10-2025
Benín,1259.39,17-10-2025
RP China,1249.06,17-10-2025
El Salvador,1247.77,17-10-2025
Guatemala,1241.52,17-10-2025
Tailandia,1235.36,17-10-2025
Luxemburgo,1231.8,17-10-2025
Palestina,1230.55,17-10-2025
Guinea Ecuatorial,1229.91,17-10-2025
Trinidad y Tobago,1229.9,17-10-2025
Mozambique,1227.53,17-10-2025
Tayikistán,1220.21,17-10-2025
Bielorrusia,1212.78,17-10-2025
Armenia,1204.7,17-10-2025
República Kirguisa,1201.22,17-10-2025
Madagascar,1193.48,17-10-2025
Tanzania,1187.08,17-10-2025
Níger,1187.0,17-10-2025
Kenia,1185.55,17-10-2025
Líbano,1184.68,17-10-2025
Vietnam,1183.62,17-10-2025
Comoras,1180.18,17-10-2025
Mauritania,1179.2,17-10-2025
Libia,1177.77,17-10-2025
Kazajstán,1168.47,17-10-2025
Namibia,1162.79,17-10-2025
Gambia,1162.12,17-10-2025
Malasia,1161.53,17-10-2025
Sudán,1157.11,17-10-2025
RDP de Corea,1151.05,17-10-2025
Sierra Leona,1149.1,17-10-2025
Indonesia,1144.73,17-10-2025
Azerbaiyán,1142.25,17-10-2025
Togo,1140.35,17-10-2025
Chipre,1137.43,17-10-2025
Surinam,1135.89,17-10-2025
Islas Feroe,1132.41,17-10-2025
Malaui,1129.89,17-10-2025
Zimbabue,1125.55,17-10-2025
Estonia,1122.25,17-10-2025
Ruanda,1117.78,17-10-2025
Guinea-Bissáu,1108.09,17-10-2025
Nicaragua,1106.83,17-10-2025
Congo,1105.96,17-10-2025
Kuwait,1096.82,17-10-2025
India,1096.65,17-10-2025
Botsuana,1084.56,17-10-2025
Liberia,1084.46,17-10-2025
Letonia,1084.26,17-10-2025
República Centroafricana,1083.57,17-10-2025
Filipinas,1081.44,17-10-2025
Turkmenistán,1078.09,17-10-2025
República Dominicana,1073.54,17-10-2025
Lesoto,1069.83,17-10-2025
Burundi,1060.22,17-10-2025
Lituania,1055.58,17-10-2025
